"Artist","Classifications","Color","Franchise","Image","Cost","Inkable","Name","Type","Lore","Rarity","Flavor_Text","Body_Text","Willpower","Strength","prints","Abilities","Card_Variants","Move_Cost"
"Antoine Couttolenc",,"Ruby","Aladdin","https://lorcana-api.com/images/thievery/thievery-large.png",1,false,"Thievery","Action",0,"Common","Apples, gems, magic lamp ...Abu's not picky as long
as there's something worth stealing.","Chosen opponent loses 1 lore. Gain 1 lore.",0,0,"[""AZS-128""]",,,
"Amanda MacFarlane",,"Ruby","Aladdin","https://lorcana-api.com/images/lead_the_way/lead_the_way-large.png",2,false,"Lead the Way","Action",0,"Common","“We have what it takes to find our way through this
maze, together! Hold on—we're going in!”","Your characters get +2 {s} this turn.",0,0,"[""AZS-129""]",,,
"Wietse Treurniet","Song","Ruby","Moana","https://lorcana-api.com/images/the_islands_i_pulled_from_the_sea/the_islands_i_pulled_from_the_sea-large.png",3,false,"The Islands I Pulled from the Sea","Action - Song",0,"Uncommon","So what can I say except...you're welcome","- A character with cost 3 or more can {e} to sing this song for free.",0,0,"[""AZS-130""]",,,
"Marco Giorgianni",,"Ruby","Aladdin","https://lorcana-api.com/images/energy_blast/energy_blast-large.png",7,false,"Energy Blast","Action",0,"Rare","“Did you really think I would fight fair?”
—Jafar","Banish chosen character. Draw a card.",0,0,"[""AZS-131""]",,,
"Alex Shin",,"Ruby","Treasure Planet","https://lorcana-api.com/images/longboat/longboat-large.png",2,false,"Longboat","Item",0,"Uncommon",,"TAKE IT FOR A SPIN - Chosen character of yours gains Evasive until the start of your next turn. (Only characters with Evasive can challenge them.)",0,0,"[""AZS-132""]",,,
"Gabriel Angelo",,"Ruby","Wreck-It Ralph","https://lorcana-api.com/images/gold_coin/gold_coin-large.png",1,false,"Gold Coin","Item",0,"Common","“Sweet mother of monkey milk! A gold coin!”
—Vanellope von Schweetz","SPARKLY ACCESS - Ready chosen character of yours. They can't quest for the rest of this turn.",0,0,"[""AZS-133""]",,,
"Kristen Kaluba",,"Ruby","Alice in Wonderland","https://lorcana-api.com/images/card_soldier's_spear/card_soldier's_spear-large.png",1,false,"Card Soldier's Spear","Item",0,"Uncommon",,"A SUITABLE WEAPON - Your damaged characters get +1 {s}.",0,0,"[""AZS-134""]",,,
"Jiahui Eva Gao",,"Ruby","Moana","https://lorcana-api.com/images/flotilla/coconut_armada/flotilla-coconut_armada-large.png",2,false,"Flotilla - Coconut Armada","Location",0,"Rare",,"TINY THIEVES - At the start of your turn, if you have a character here, all opponents lose 1 lore and you gain lore equal to the lore lost this way.",6,0,"[""AZS-135""]",,,
"Nicolas Ky",,"Ruby","Peter Pan","https://lorcana-api.com/images/skull_rock/isolated_fortress/skull_rock-isolated_fortress-large.png",2,false,"Skull Rock - Isolated Fortress","Location",0,"Common",,"FAMILIAR GROUND - Characters get +1 {s} while here.",6,0,"[""AZS-136""]",,,
"Gwawi","Storyborn, Ally, Robot, Pirate","Sapphire","Treasure Planet","https://lorcana-api.com/images/b.e.n/eccentric_robot/b.e.n.-eccentric_robot-large.png",4,false,"B.E.N. - Eccentric Robot","Character",2,"Common",,"Support (Whenever this character quests, you may add their ※ to another chosen character’s ※ this turn.)",3,4,"[""AZS-137""]","Support",,
"Kendall Hale","Storyborn, Mentor","Sapphire","Big Hero 6","https://lorcana-api.com/images/aunt_cass/biggest_fan/aunt_cass-biggest_fan-large.png",2,false,"Aunt Cass - Biggest Fan","Character",1,"Common","“All right, geniuses, let's feed those hungry brains.”","HAPPY TO HELP - Whenever this character quests, chosen Inventor character gets +1 {l} this turn.",3,1,"[""AZS-138""]",,,
"Andrea Femerstrand","Storyborn, Ally, Inventor","Sapphire","Chip 'n Dale: Rescue Rangers","https://lorcana-api.com/images/gadget_hackwrench/creative_thinker/gadget_hackwrench-creative_thinker-large.png",3,false,"Gadget Hackwrench - Creative Thinker","Character",1,"Common","“Golly, a perfect wingnut! There's about a million
uses for that!”","BRAINSTORM - Whenever you play an item, this character gets +1 {l} this turn.",4,1,"[""AZS-139""]",,,
"Alex Accorsi","Floodborn, Ally, Inventor","Sapphire","Chip 'n Dale: Rescue Rangers","https://lorcana-api.com/images/gadget_hackwrench/brilliant_bosun/gadget_hackwrench-brilliant_bosun-large.png",6,false,"Gadget Hackwrench - Brilliant Bosun","Character",3,"Super Rare",,"Shift 4 (You may pay 4 {i} to play this on top of one of your characters named Gadget Hackwrench.)
Mechanically Savvy: While you have 3 or more items in play, you pay 1 {i} less to play Inventor characters.",6,3,"[""AZS-140""]","Shift 4",,
"Eri Welli","Storyborn, Ally","Sapphire","Chip 'n Dale: Rescue Rangers","https://lorcana-api.com/images/zipper/astute_decoy/zipper-astute_decoy-large.png",3,false,"Zipper - Astute Decoy","Character",2,"Rare",,"Ward (Opponents can’t choose this character except to challenge.)
Run Interference: During your turn, whenever a card is put into your inkwell, another chosen character gains Resist +1 until the start of your next turn. (Damage dealt to them is reduced by 1.)",2,2,"[""AZS-141""]","Ward",,
"Tom Bancroft / Kristen Breshears","Storyborn, Hero","Sapphire","Oswald the Lucky Rabbit","https://lorcana-api.com/images/oswald/the_lucky_rabbit/oswald-the_lucky_rabbit-large.png",2,false,"Oswald - The Lucky Rabbit","Character",2,"Legendary",,"FAVORABLE CHANCE - During your turn, whenever a card is put into your inkwell, you may reveal the top card of your deck. If it's an item card, you may play that item for free and it enters play exerted. Otherwise, put it on the bottom of your deck.",1,2,"[""AZS-142""]",,,
"Juan Diego Leon","Storyborn, Villain, Inventor","Sapphire","Big Hero 6","https://lorcana-api.com/images/yokai/enigmatic_inventor/yokai-enigmatic_inventor-large.png",4,false,"Yokai - Enigmatic Inventor","Character",2,"Uncommon",,"TIME TO UPGRADE - Whenever this character quests, you may return one of your items to your hand to pay 2 {i} less for the next item you play this turn.",3,3,"[""AZS-143""]",,,
"Heidi Neunhoffer","Storyborn, Ally, Alien","Sapphire","Lilo & Stitch","https://lorcana-api.com/images/pleakley/scientific_expert/pleakley-scientific_expert-large.png",3,false,"Pleakley - Scientific Expert","Character",1,"Uncommon","“As the duly appointed representative for the
Galactic Council, I volunteer for this assignment!”","REPORTING FOR DUTY - When you play this character, put chosen character of yours into your inkwell facedown and exerted.",4,3,"[""AZS-144""]",,,
"Denny Minonne","Storyborn, Hero, Inventor","Sapphire","Big Hero 6","https://lorcana-api.com/images/hiro_hamada/robotics_prodigy/hiro_hamada-robotics_prodigy-large.png",3,false,"Hiro Hamada - Robotics Prodigy","Character",1,"Uncommon","“A couple more tweaks and I've just about...got it!”","SWEET TECH - Search your deck for an item card or a Robot character card and reveal it to all players. Shuffle your deck and put that card on top of it.",3,0,"[""AZS-145""]",,,
"Lisanne Koeteeuw","Storyborn, Ally","Sapphire","Moana","https://lorcana-api.com/images/heihei/not-so-tricky_chicken/heihei-not-so-tricky_chicken-large.png",2,false,"HeiHei - Not-So-Tricky Chicken","Character",1,"Uncommon",,"EAT ANYTHING - When you play this character, exert chosen opposing item. It can't ready at the start of its next turn.",2,2,"[""AZS-146""]",,,
"Mike Mu / Livio Cacciatore","Storyborn, Ally","Sapphire","Wreck-It Ralph","https://lorcana-api.com/images/sour_bill/surly_henchman/sour_bill-surly_henchman-large.png",3,false,"Sour Bill - Surly Henchman","Character",2,"Common","“You want to go in there? Fine. If you do, you won't
come back out.”","UNPALATABLE - When you play this character, chosen opposing character gets -2 {s} this turn.",3,2,"[""AZS-147""]",,,
"Lauren Barger","Storyborn, Ally","Sapphire","Zootopia","https://lorcana-api.com/images/nick_wilde/soggy_fox/nick_wilde-soggy_fox-large.png",1,false,"Nick Wilde - Soggy Fox","Character",1,"Common","“Glad you could make it.”","NICE TO HAVE A PARTNER - While you have another character with Support in play, this character gets +2 {s}.",2,1,"[""AZS-148""]",,,
"Taraneh","Storyborn, Hero, Inventor","Sapphire","Big Hero 6","https://lorcana-api.com/images/wasabi/methodical_engineer/wasabi-methodical_engineer-large.png",4,false,"Wasabi - Methodical Engineer","Character",1,"Uncommon",,"BLADES OF FURY - When you play this character, you may banish chosen item. Its player gains 1 lore.",3,3,"[""AZS-149""]",,,
"Jo?o Moura","Floodborn, Ally","Sapphire","Zootopia","https://lorcana-api.com/images/nick_wilde/sly_fox/nick_wilde-sly_fox-large.png",3,false,"Nick Wilde - Sly Fox","Character",1,"Uncommon",,"Shift 1 (You may pay 1 {i} to play this on top of one of your characters named Nick Wilde.)
You Can't Touch Me: While you have an item in play, this character can't be challenged.",3,1,"[""AZS-150""]",,,
"Samanta Erdini","Storyborn, Ally, Inventor","Sapphire","Chip 'n Dale: Rescue Rangers","https://lorcana-api.com/images/gadget_hackwrench/perceptive_mouse/gadget_hackwrench-perceptive_mouse-large.png",2,false,"Gadget Hackwrench - Perceptive Mouse","Character",1,"Common","“All the clues pointed to an island, but I never
thought I'd see it on a map. Golly, this is
incredible! I mean, the island actually exists, so it's
technically credible—but still! This is amazing!”",,3,2,"[""AZS-151""]",,,
"Valentina Graziuso","Storyborn, Ally, Alien","Sapphire","Treasure Planet","https://lorcana-api.com/images/dr._delbert_doppler/fussy_astronomer/dr._delbert_doppler-fussy_astronomer-large.png",4,false,"Dr. Delbert Doppler - Fussy Astronomer","Character",1,"Uncommon","“Of course! It all makes perfect sense. That's why
my old star charts are useless. Every star in the sky
here is different!”",,4,4,"[""AZS-152""]",,,
"Jeanne Plounevez","Storyborn, Mentor, Inventor","Sapphire","Big Hero 6","https://lorcana-api.com/images/tadashi_hamada/baymax_inventor/tadashi_hamada-baymax_inventor-large.png",6,false,"Tadashi Hamada - Baymax Inventor","Character",3,"Super Rare","“I'm not giving up on you. You don't understand this
yet, but people need you.”","LET'S GET BACK TO WORK - This character gets +1 {s} and +1 ? for each item you have in play.",3,3,"[""AZS-153""]",,,
"Gonzalo Kenny","Storyborn, Hero, Inventor","Sapphire","Big Hero 6","https://lorcana-api.com/images/hiro_hamada/team_leader/hiro_hamada-team_leader-large.png",4,false,"Hiro Hamada - Team Leader","Character",1,"Rare",,"I NEED TO UPGRADE ALL OF YOU - Your other Inventor characters gain Resist +1. (Damage dealt to them is reduced by 1.)",5,1,"[""AZS-154""]",,,
"Alibeth Zermeno","Storyborn, Mentor, Inventor","Sapphire","Big Hero 6","https://lorcana-api.com/images/tadashi_hamada/gifted_roboticist/tadashi_hamada-gifted_roboticist-large.png",3,false,"Tadashi Hamada - Gifted Roboticist","Character",2,"Rare","His work lives on.","SOMEONE HAS TO HELP - During an opponent's turn, when this character is banished, you may put the top card of your deck into your inkwell facedown. Then, put this card into your inkwell facedown.",2,2,"[""AZS-155""]",,,
"Jared Mathews","Storyborn, Hero, Robot","Sapphire","Baymax","https://lorcana-api.com/images/baymax/personal_healthcare_companion/baymax-personal_healthcare_companion-large.png",3,true,"Baymax - Personal Healthcare Companion","Character",2,"Rare",,"Fully Charged - If you have an Inventor character in play, you may pay 1 {i} less to play this character
You Said 'Ow' - 2 {i}: Remove up to 1 damage from another chosen character.",4,0,"[""AZS-156""]","",,
"Brianna Garcia","Storyborn, Hero, Robot","Sapphire","Big Hero 6","https://lorcana-api.com/images/baymax/armored_companion/baymax-armored_companion-large.png",5,false,"Baymax - Armored Companion","Character",2,"Legendary",,"THE TREATMENT IS WORKING - When you play this character and whenever he quests, you may remove up to 2 damage from another chosen character of yours. Gain 1 lore for each 1 damage removed this way.",6,2,"[""AZS-157""]",,,
"Jennifer Park","Storyborn, Villain, Inventor","Sapphire","Big Hero 6","https://lorcana-api.com/images/yokai/professor_callaghan/yokai-professor_callaghan-large.png",1,false,"Yokai - Professor Callaghan","Character",1,"Common","“You are all brilliant scientists and inventors. Think
of what you could do with this little device. How do
you push the boundaries of what is possible?”",,2,2,"[""AZS-158""]",,,
"Stefano Spagnuolo","Storyborn, Ally, Inventor","Sapphire","The Great Mouse Detective","https://lorcana-api.com/images/hiram_flaversham/intrigued_inventor/hiram_flaversham-intrigued_inventor-large.png",2,false,"Hiram Flaversham - Intrigued Inventor","Character",3,"Rare","He'll find a way to make anything mouse-sized.",,2,0,"[""AZS-159""]",,,
"Nicola Saviori","Floodborn, Villain, Inventor","Sapphire","Big Hero 6","https://lorcana-api.com/images/yokai/scientific_supervillain/yokai-scientific_supervillain-large.png",9,false,"Yokai - Scientific Supervillain","Character",2,"Rare",,"Shift 6 (You may pay 6 {i} to play this on top of one of your characters named Yokai.)
NeuroTransmitter: You may play items named Microbots for free.
Technical Gain: Whenever this character quests, draw a card for each opposing character with 0 {s}.",10,6,"[""AZS-160""]",,,
"Dustin Panzino","Dreamborn, Hero","Sapphire","Alice in Wonderland","https://lorcana-api.com/images/alice/savvy_sailor/alice-savvy_sailor-large.png",3,false,"Alice - Savvy Sailor","Character",2,"Super Rare",,"Ward (Opponents can’t choose this character except to challenge.) 
Ahoy!: Whenever this character quests, another chosen character of yours gets +1 {l} and gains Ward until the start of your next turn.",4,1,"[""AZS-161""]","Ward",,
"Ian MacDonald","Song","Sapphire","Big Hero 6","https://lorcana-api.com/images/we_could_be_immortals/we_could_be_immortals-large.png",4,false,"We Could Be Immortals","Action - Song",0,"Rare",,"- A character with cost 4 or more can {e} to sing this song for free.",0,0,"[""AZS-162""]",,,
"Valerio Buonfantino",,"Sapphire","Lorcana","https://lorcana-api.com/images/sail_the_azurite_sea/sail_the_azurite_sea-large.png",2,false,"Sail the Azurite Sea","Action",0,"Common","You need a good plan and even better luck to make it
across these treacherous waters.","This turn, you may put an additional card from your hand into your inkwell facedown. Draw a card.",0,0,"[""AZS-163""]",,,
"Therese Vildefall",,"Sapphire","Zootopia","https://lorcana-api.com/images/helping_hand/helping_hand-large.png",1,false,"Helping Hand","Action",0,"Common","“When you're making the world a better place, every
little thing helps.”
—Judy Hopps","Chosen character gains Support this turn. Draw a card. (Whenever they quest, you may add their {s} to another chosen character’s {s} this turn.)",0,0,"[""AZS-164""]",,,
"Ian MacDonald",,"Sapphire","Big Hero 6","https://lorcana-api.com/images/prepare_your_bot/prepare_your_bot-large.png",1,false,"Prepare Your Bot","Action",0,"Uncommon",,"Choose one:
- Ready chosen item.
- Ready chosen Robot character. They can’t quest for the rest of this turn.",0,0,"[""AZS-165""]",,,
"Rudy Hill",,"Sapphire","Big Hero 6","https://lorcana-api.com/images/baymax's_healthcare_chip/baymax's_healthcare_chip-large.png",2,false,"Baymax's Healthcare Chip","Item",0,"Common",,"10,000 MEDICAL PROCEDURES - Choose one: • Remove up to 1 damage from chosen character. • If you have a Robot character in play, remove up to 3 damage from chosen character.",0,0,"[""AZS-166""]",,,
"Stefano Spagnuolo",,"Sapphire","Big Hero 6","https://lorcana-api.com/images/microbots/microbots-large.png",2,false,"Microbots","Item",0,"Uncommon",,"LIMITLESS APPLICATIONS - You may have any number of cards named Microbots in your deck.",0,0,"[""AZS-167""]",,,
"Alexandra Hefez",,"Sapphire","Zootopia","https://lorcana-api.com/images/jumbo_pop/jumbo_pop-large.png",3,false,"Jumbo Pop","Item",0,"Common",,"HERE YOU GO - Remove up to 2 damage from each of your characters. Draw a card.",0,0,"[""AZS-168""]",,,
"Geoffrey Boudout",,"Sapphire","Chip 'n Dale: Rescue Rangers","https://lorcana-api.com/images/rescue_rangers_submarine/mobile_headquarters/rescue_rangers_submarine-mobile_headquarters-large.png",2,false,"Rescue Rangers Submarine - Mobile Headquarters","Location",0,"Rare",,"PLANNING SESSION - At the start of your turn, if you have a character here, you may put the top card of your deck into your inkwell facedown and exerted.",8,0,"[""AZS-169""]",,,
"Gabe",,"Sapphire","Big Hero 6","https://lorcana-api.com/images/institute_of_technology/prestigious_university/institute_of_technology-prestigious_university-large.png",1,false,"Institute of Technology - Prestigious University","Location",0,"Common",,"WELCOME TO THE LAB - Inventor characters get +1 {w} while here.",5,0,"[""AZS-170""]",,,
"Matthew Robert Davies","Storyborn, Pirate","Steel","Moana","https://lorcana-api.com/images/kakamora/long-range_specialist/kakamora-long-range_specialist-large.png",1,false,"Kakamora - Long-Range Specialist","Character",1,"Common","“They're very good at making trouble.”
—Maui","A LITTLE HELP - When you play this character, if you have another Pirate character in play, you may deal 1 damage to chosen character or location.",2,0,"[""AZS-171""]",,,
"Juan Diego Leon","Storyborn, Pirate, Captain","Steel","Moana","https://lorcana-api.com/images/kakamora/pirate_chief/kakamora-pirate_chief-large.png",7,false,"Kakamora - Pirate Chief","Character",2,"Rare",,"HEAD COCONUT - Whenever this character quests, you may draw a card, then choose and discard a card to deal 1 damage to chosen character or location. If you discarded a Pirate character card, deal 3 damage instead.",6,4,"[""AZS-172""]",,,
"Ursula Dorada","Storyborn, Hero","Steel","Treasure Planet","https://lorcana-api.com/images/jim_hawkins/stubborn_cabin_boy/jim_hawkins-stubborn_cabin_boy-large.png",2,false,"Jim Hawkins - Stubborn Cabin Boy","Character",1,"Common",,"COME ON, COME ON, COME ON! - During your turn, whenever a card is put into your inkwell, this character gains Challenger +2 this turn. (They get +2 {s} while challenging.)",4,0,"[""AZS-173""]",,,
"Federico Maria Cugliari","Storyborn","Steel","Zootopia","https://lorcana-api.com/images/mr._big/shrewd_tycoon/mr._big-shrewd_tycoon-large.png",4,false,"Mr. Big - Shrewd Tycoon","Character",3,"Rare","“You've done me a great service.”","REPUTATION - This character can't be challenged by characters with 2 {s} or greater.",1,1,"[""AZS-174""]",,,
"Carlos Luzzi","Storyborn, Ally, Pirate","Steel","Peter Pan","https://lorcana-api.com/images/mr._smee/steadfast_mate/mr._smee-steadfast_mate-large.png",2,false,"Mr. Smee - Steadfast Mate","Character",1,"Uncommon","“Captain Hook'd like a word with ya.”","GOOD CATCH - During your turn, this character gains Evasive. (They can challenge characters with Evasive.)",2,3,"[""AZS-175""]",,,
"Grace Tran","Floodborn, Villain, Pirate, Captain","Steel","Peter Pan","https://lorcana-api.com/images/mr._smee/captain_of_the_jolly_roger/mr._smee-captain_of_the_jolly_roger-large.png",6,false,"Mr. Smee - Captain of the Jolly Roger","Character",2,"Super Rare",,"Shift 4 (You may pay 4 {i} to play this on top of one of your characters named Mr. Smee)
Raise the Colors: When you play this character, you may deal damage to chosen character equal to the number of your other Pirate characters in play.",6,3,"[""AZS-176""]","Shift 4",,
"Federico Maria Cugliari","Storyborn, Ally, Pirate","Steel","Peter Pan","https://lorcana-api.com/images/mullins/seasoned_shipmate/mullins-seasoned_shipmate-large.png",5,false,"Mullins - Seasoned Shipmate","Character",1,"Common","“Anything for you, Mr. Smee! Except me share o’
the plunder...”","FALL IN LINE - While you have a character named Mr. Smee in play, this character gains Resist +1. (Damage dealt to them is reduced by 1.)",4,6,"[""AZS-177""]",,,
"Kevin Sidharta","Storyborn, Ally","Steel","Wreck-It Ralph","https://lorcana-api.com/images/kohut/trusted_marine/kohut-trusted_marine-large.png",2,false,"Kohut - Trusted Marine","Character",1,"Common","“Ma'am! I am a highly trained instrument of
tactical superiority! Maybe we could find someone
else for the gruntwork! Ma'am!”",,3,2,"[""AZS-178""]",,,
"Gaku Kumatori","Storyborn, Mentor, King","Steel","Sleeping Beauty","https://lorcana-api.com/images/king_hubert/phillip's_father/king_hubert-phillip's_father-large.png",3,false,"King Hubert - Phillip's Father","Character",1,"Common","“I told you we'd find an island eventually! Excellent
navigating. Yes, yes, I'm quite proud. Now, a toast
to our success!”",,4,3,"[""AZS-179""]",,,
"Stefano Zanchi","Dreamborn, Hero, Prince","Steel","Hercules","https://lorcana-api.com/images/hercules/unwavering_demigod/hercules-unwavering_demigod-large.png",4,false,"Hercules - Unwavering Demigod","Character",2,"Common","“That maze wasn't so bad! Let's see what this
island has in store for us.”","Challenger+2 (While challenging, this character gets +2 {s}.)",4,2,"[""AZS-180""]","Challenger 2",,
"Leonardo Giammichele","Storyborn, Villain, Alien, Pirate, Captain","Steel","Treasure Planet","https://lorcana-api.com/images/john_silver/ship's_cook/john_silver-ship's_cook-large.png",3,false,"John Silver - Ship's Cook","Character",1,"Common","“At the end of the day, it's the simplest tools that
come through for you in a pinch.”","HUNK OF HARDWARE - When you play this character, chosen character can't challenge during their next turn.",3,3,"[""AZS-181""]",,,
"Michela Cacciatore / Giulia Priori","Storyborn, Ally, Alien","Steel","Treasure Planet","https://lorcana-api.com/images/mr._arrow/legacy's_first_mate/mr._arrow-legacy's_first_mate-large.png",2,false,"Mr. Arrow - Legacy's First Mate","Character",2,"Common","“We're holding steady, Captain. Despite this wind.
And these waves.”","Resist +1 (Damage dealt to this character is reduced by 1.)",2,1,"[""AZS-182""]","Resist 1",,
"Ornella Savarese","Floodborn, Hero","Steel","Treasure Planet","https://lorcana-api.com/images/jim_hawkins/rigging_specialist/jim_hawkins-rigging_specialist-large.png",5,false,"Jim Hawkins - Rigging Specialist","Character",2,"Uncommon",,"Shift 3 (You may pay 3 {i} to play this on top of one of your characters named Jim Hawkins.)
Battle Stations: When you play this character, you may deal 1 damage to chosen character or location.",5,5,"[""AZS-183""]","Shift 3",,
"Mariana Moreno","Storyborn, Ally","Steel","Raya and the Last Dragon","https://lorcana-api.com/images/tuk_tuk/big_buddy/tuk_tuk-big_buddy-large.png",5,false,"Tuk Tuk - Big Buddy","Character",1,"Uncommon","Raya: “Nothing gets past Tuk Tuk. Nothing.”
Sisu: “Except butterflies! Oh, and birds!”
Raya: “Fine. Most things don't get past Tuk Tuk.”",,5,6,"[""AZS-184""]",,,
"Diogo Saito","Storyborn, Alien, Pirate","Steel","Treasure Planet","https://lorcana-api.com/images/billy_bones/space_sailor/billy_bones-space_sailor-large.png",3,false,"Billy Bones - Space Sailor","Character",2,"Uncommon","“He'll be comin’ soon. Can't let them find this.”","KEEP IT HIDDEN - When this character is banished, you may banish chosen item or location.",2,2,"[""AZS-185""]",,,
"Hedvig H?ggman-Sund","Storyborn, Ally","Steel","Mickey Mouse & Friends","https://lorcana-api.com/images/pluto/guard_dog/pluto-guard_dog-large.png",4,false,"Pluto - Guard Dog","Character",1,"Uncommon",,"Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.)
Good Boy: While this character has no damage, he gets +4 {s}.",5,1,"[""AZS-186""]","Bodyguard",,
"Hedvig H?ggman-Sund","Storyborn, Hero","Steel","Mickey Mouse & Friends","https://lorcana-api.com/images/mickey_mouse/night_watch/mickey_mouse-night_watch-large.png",3,false,"Mickey Mouse - Night Watch","Character",2,"Uncommon","“Gee, Donald was right—it's spooky out here in
the dark!”","BACKUP - Your characters named Pluto gain Resist +1. (Damage dealt to them is reduced by 1.)",3,2,"[""AZS-187""]",,,
"Eri Welli","Dreamborn, Ally","Steel","Lilo & Stitch","https://lorcana-api.com/images/cobra_bubbles/former_cia/cobra_bubbles-former_cia-large.png",5,false,"Cobra Bubbles - Former CIA","Character",2,"Rare",,"Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.)
Think About What's Best: 2 {i} - Draw a card, then choose and discard a card.",4,3,"[""AZS-188""]","Bodyguard",,
"Luis Huerta","Dreamborn, Alien, Captain","Steel","Lilo & Stitch","https://lorcana-api.com/images/gantu/captain_crankyhead/gantu-captain_crankyhead-large.png",5,false,"Gantu - Captain Crankyhead","Character",4,"Rare","“Strength in numbers is overrated. I prefer my own
strength.”",,3,4,"[""AZS-189""]",,,
"Justin Runfola","Dreamborn, Hero","Steel","Wreck-It Ralph","https://lorcana-api.com/images/wreck-it_ralph/ham_hands/wreck-it_ralph-ham_hands-large.png",6,false,"Wreck-It Ralph - Ham Hands","Character",3,"Legendary","“I'm very good at what I do. Probably the best I know.”","I WRECK THINGS - Whenever this character quests, you may banish chosen item or location to gain 2 lore.",4,4,"[""AZS-190""]",,,
"Kevin Sidharta","Storyborn, Hero","Steel","Wreck-It Ralph","https://lorcana-api.com/images/calhoun/marine_sergeant/calhoun-marine_sergeant-large.png",2,false,"Calhoun - Marine Sergeant","Character",1,"Rare",,"Resist +1 (Damage dealt to this character is reduced by 1.)
Level Up: During your turn, whenever this character banishes another character in a challenge, gain 2 lore.",2,3,"[""AZS-191""]","Resist 1",,
"French Carlomagno","Storyborn, Ally, Alien, Captain","Steel","Treasure Planet","https://lorcana-api.com/images/captain_amelia/commander_of_the_legacy/captain_amelia-commander_of_the_legacy-large.png",4,false,"Captain Amelia - Commander of the Legacy","Character",2,"Super Rare",,"DRIVELING GALOOTS - This character can't be challenged by Pirate characters.",4,1,"[""AZS-192""]",,,
"Federico Maria Cugliari","Dreamborn, Villain, Sorcerer","Steel","Aladdin","https://lorcana-api.com/images/jafar/power-hungry_vizier/jafar-power-hungry_vizier-large.png",5,false,"Jafar - Power-Hungry Vizier","Character",1,"Super Rare","“The broken crown's power is formidable, but not
enough. With both halves of the Hexwell Crown, I could
rule all of Lorcana!”","YOU'LL GET WHAT'S COMING TO YOU - During your turn, whenever a card is put into your inkwell, deal 1 damage to chosen character.",4,3,"[""AZS-193""]",,,
"Diego Machuca","Floodborn, Villain, Alien, Pirate, Captain","Steel","Treasure Planet","https://lorcana-api.com/images/john_silver/stern_captain/john_silver-stern_captain-large.png",8,false,"John Silver - Stern Captain","Character",2,"Legendary",,"Shift 5 (You may pay 5 {i} to play this on top of one of your characters named John Silver.)
Resist +2 (Damage dealt to this character is reduced by 2.)
Don't Just Sit There!: At the start of your turn, deal 1 damage to each opposing ready character.",6,6,"[""AZS-194""]","Shift 5, Resist 2",,
"Nicolas Ky",,"Steel","Lilo & Stitch","https://lorcana-api.com/images/hot_potato/hot_potato-large.png",3,false,"Hot Potato","Action",0,"Uncommon","“This is not going to end well.”
—Pleakley","Choose one:
- Deal 2 damage to chosen character.
- Banish chosen item.",0,0,"[""AZS-195""]",,,
"Mike Parker","Song","Steel","Treasure Planet","https://lorcana-api.com/images/i'm_still_here/i'm_still_here-large.png",3,false,"I'm Still Here","Action - Song",0,"Common",,"- A character with cost 3 or more can {e} to sing this song for free.",0,0,"[""AZS-196""]",,,
"Taraneh",,"Steel","Peter Pan","https://lorcana-api.com/images/twin_fire/twin_fire-large.png",2,false,"Twin Fire","Action",0,"Common","“I got ‘em!”
“No, I got ‘em!”","Deal 2 damage to chosen character. Then, you may choose and discard a card to deal 2 damage to another chosen character.",0,0,"[""AZS-197""]",,,
"Ilaria Sposetti",,"Steel","Peter Pan","https://lorcana-api.com/images/ambush!/ambush!-large.png",3,false,"Ambush!","Action",0,"Rare","Pirates will use any advantage they can get.","{e} one of your characters to deal damage equal to their {s} to chosen character.",0,0,"[""AZS-198""]",,,
"Mariana Moreno","","Steel","The Lion King","https://lorcana-api.com/images/unfortunate_situation/unfortunate_situation-large.png",4,false,"Unfortunate Situation","Action",0,"Uncommon",,"Each opponent chooses one of their characters and deals 4 damage to them.",0,0,"[""AZS-199""]",,,
"Juan Diego Leon",,"Steel","Lorcana","https://lorcana-api.com/images/king's_sensor_core/king's_sensor_core-large.png",3,false,"King's Sensor Core","Item",0,"Rare",,"SYMBOL OF ROYALTY - Your Prince and King characters gain Resist +1. (Damage dealt to them is reduced by 1.)",0,0,"[""AZS-200""]",,,
"Valentina Graziuso",,"Steel","Hercules","https://lorcana-api.com/images/training_dummy/training_dummy-large.png",2,false,"Training Dummy","Item",0,"Uncommon",,"HANDLE WITH CARE - Chosen character gains Bodyguard until the start of your next turn. (An opposing character who challenges one of your characters must choose one with Bodyguard if able.)",0,0,"[""AZS-201""]",,,
"Kuya Jaypi",,"Steel","Lilo & Stitch","https://lorcana-api.com/images/sunglasses/sunglasses-large.png",4,false,"Sunglasses","Item",0,"Common","The coolest accessory for top agents.","SPYCRAFT - Draw a card, then choose and discard a card.",0,0,"[""AZS-202""]",,,
"Douglas De La Hoz",,"Steel","Treasure Planet","https://lorcana-api.com/images/treasure_mountain/azurite_sea_island/treasure_mountain-azurite_sea_island-large.png",5,false,"Treasure Mountain - Azurite Sea Island","Location",2,"Rare",,"SECRET WEAPON - At the start of your turn, deal damage to chosen character or location equal to the number of characters here.",9,0,"[""AZS-203""]",,,
